V1,OA6,OA1,OA7,OA2,OA8,OA3,OA4,OA5,OA9,OA10,RA1,RA2,RA7,RA8,RA3,RA9,RA4,RA5,RA10,RA6
AC012531.1,2.64804686767083e-05,3.09965788214891e-05,2.86630232687211e-05,2.6610957079886e-05,2.8344484557152e-05,2.70975272226027e-05,2.57469578430497e-05,3.0190587071771e-05,2.50204811865664e-05,3.03165686876997e-05,2.87242914230575e-05,2.70931807511436e-05,2.73735933191463e-05,3.09171900378869e-05,2.95329918385854e-05,2.33077173799352e-05,2.39102037637861e-05,2.82038934237074e-05,2.53580592566907e-05,2.84173439250502e-05
AC226150.2,2.64484135419782e-05,2.51812804621263e-05,2.55690798055015e-05,2.2596615523429e-05,2.37366386908799e-05,2.36900332455835e-05,2.09327956222707e-05,0.000147988733766987,2.15122834606298e-05,2.25296966977593e-05,2.5557800125539e-05,2.84423760923507e-05,2.20396915788958e-05,2.49787800016323e-05,2.90306292109964e-05,2.21667806767826e-05,2.26088313922697e-05,2.51515380504392e-05,2.28516410974059e-05,2.44403013512048e-05
AHR,0.000685919610307562,0.000741005684714469,0.000706142678741716,0.000370101610196937,0.000437539100152023,0.000444627416162733,0.000517631851501933,0.00029697259695753,0.000594263409414374,0.000680027038791844,0.000190213053394161,0.000839035316434124,0.000490065572961454,0.00019210190308415,0.000604083274106175,0.000380029133950876,0.000763315626571771,0.000251956794403083,0.000338464763611508,0.000392812702699579
AIRE,5.50408111032158e-05,4.37792939184363e-05,3.54539849095551e-05,3.93248486635541e-05,4.60077205876853e-05,3.29733252923297e-05,6.95465866828403e-05,4.03901554645863e-05,3.40838741798857e-05,6.82698028791954e-05,5.18993232798486e-05,4.6636525891336e-05,3.62037234807305e-05,9.72816421932813e-05,4.52285914981227e-05,4.19080173768865e-05,3.38554663868924e-05,0.000111013738933274,4.23983198911082e-05,3.95521281440568e-05
AL662828.6,2.36882950545373e-05,2.47958971453596e-05,2.27380332779498e-05,2.13087329617623e-05,2.66509143797056e-05,2.2569343392818e-05,2.24875437831088e-05,2.31307706316195e-05,2.21210832154403e-05,2.09333270980696e-05,2.34337661235e-05,2.66095360175943e-05,2.27255668471615e-05,2.41514436188735e-05,2.88555459520009e-05,2.35448276170931e-05,2.11547149060912e-05,2.5907481069083e-05,2.16903286613721e-05,2.33057017314275e-05
AL662830.5,2.26656890220657e-05,2.65313027442368e-05,2.1212590848779e-05,2.29927323045339e-05,2.18587247601916e-05,2.15434091647368e-05,2.17542285365626e-05,2.22342712100115e-05,2.07165489613649e-05,5.11183021726535e-05,2.46569153875077e-05,2.62690610669282e-05,2.22873783093237e-05,2.603705237407e-05,2.89890520431833e-05,2.25941929614459e-05,1.96100057623126e-05,2.55962776688924e-05,1.97959639522922e-05,2.21531277347924e-05
AL662834.13,3.25376868188421e-05,2.19768890317455e-05,2.13388917485684e-05,2.08164158262932e-05,2.23238613856684e-05,2.11930772734281e-05,2.14778044585943e-05,2.14566456902467e-05,1.86942254084849e-05,1.91661805066917e-05,2.92619538805466e-05,3.63540419148213e-05,2.06927414088803e-05,2.41251955893405e-05,2.68852794905091e-05,2.3562858877556e-05,1.91259756807338e-05,2.39394758566285e-05,2.15764152355998e-05,2.12645217398129e-05
ALX1,7.09969053582088e-05,0.00011965046462553,0.000164502823783855,6.48123806062951e-05,5.27054857691467e-05,0.000248657666401733,6.00317456242739e-05,9.26225125793557e-05,5.24999982467873e-05,5.36897393572308e-05,0.000124447946547964,0.000102425883724162,0.000260892896694163,0.000527385870076555,0.000153783912162178,4.95737624942293e-05,5.65506820480231e-05,0.000149242276509698,4.84276570060343e-05,6.40891616088584e-05
ALX3,4.161088073166e-05,6.95125173350412e-05,6.0096390173947e-05,3.45591915714564e-05,4.17772867704804e-05,3.5679189321911e-05,6.00812510078683e-05,5.47122988807909e-05,5.45736988195942e-05,6.81557636960454e-05,7.37892562305889e-05,7.61924806084887e-05,0.000273243354387271,4.25235107510204e-05,8.91543383743866e-05,4.81698945458836e-05,4.91772835620599e-05,5.36768415496708e-05,9.90459491326764e-05,3.50988404187442e-05
ALX4,6.80344347227671e-05,5.18690650831098e-05,3.82807472289144e-05,8.87275150104269e-05,4.93831453882677e-05,7.21797831896578e-05,5.1878649262208e-05,3.67749296819297e-05,4.95600527603249e-05,4.03995530703152e-05,3.67871381279728e-05,5.80996242555123e-05,5.31251448951278e-05,5.20106445221796e-05,3.16416421880675e-05,2.88523692508132e-05,3.46721385344784e-05,5.08506645545954e-05,7.33030106534863e-05,3.34719858105992e-05
