gene_id,gene_name,log2FC_RA_vs_OA,p_value
A1BG,A1BG,0.3359671820377043,0.1748046875
A1BG-AS1,A1BG-AS1,-0.040053985892284746,0.51953125
A2M,A2M,-2.177572340321734,0.0009765625
A2M-AS1,A2M-AS1,-0.03140788034249944,0.8984375
A3GALT2,A3GALT2,-1.5216441750138083,0.5
A4GALT,A4GALT,-0.4418893831885341,0.0185546875
AAAS,AAAS,0.0019591574857588563,0.46484375
AACS,AACS,-0.07813841787121296,0.51953125
AADACL4,AADACL4,0.02520338557730245,1.0
AADACP1,AADACP1,1.5480657975521621,0.375
AADAT,AADAT,0.09479700563421196,0.365234375
AAGAB,AAGAB,-0.027972276769483082,0.5771484375
AAK1,AAK1,0.02757379482363679,0.4130859375
AAMDC,AAMDC,-0.09821161406725055,0.240234375
AAMP,AAMP,0.010712025690278106,0.6376953125
AANAT,AANAT,-1.5711736580322069,0.875
AAR2,AAR2,0.05925201547833012,0.0673828125
AARD,AARD,0.5578013030938148,0.4130859375
AARS1,AARS1,0.20958670304645705,0.0673828125
AARS2,AARS2,-0.2699782804977686,0.0322265625
AARSD1,AARSD1,0.16865726991026997,0.009765625
AASDH,AASDH,0.02519153369991194,0.8984375
AASDHPPT,AASDHPPT,0.10601391316269444,0.0673828125
AASS,AASS,-0.3665334100621844,0.0673828125
AATBC,AATBC,-0.345495726792337,0.49609375
AATF,AATF,0.07007272538931111,0.240234375
AATK,AATK,-0.4086716943859929,0.46484375
ABALON,ABALON,-0.2747106935056639,0.1748046875
ABAT,ABAT,-0.630001809903835,0.0244140625
ABCA1,ABCA1,-1.1055924417826453,0.001953125
ABCA10,ABCA10,-0.6356230146390887,0.1015625
ABCA11P,ABCA11P,0.09908594765407212,0.2060546875
ABCA12,ABCA12,0.4176067812789014,0.3203125
ABCA13,ABCA13,-1.6051776828361026,0.0322265625
ABCA17P,ABCA17P,0.1849256071827046,0.84375
ABCA2,ABCA2,-0.15345671549056888,0.3203125
ABCA3,ABCA3,-0.2159284562864503,0.3203125
ABCA4,ABCA4,0.6021780276471356,0.240234375
ABCA5,ABCA5,-0.40310155917301466,0.123046875
ABCA6,ABCA6,-0.5905275235158549,0.2060546875
ABCA7,ABCA7,-1.4513077571598116,0.0029296875
ABCA8,ABCA8,-0.6438595364396389,0.1748046875
ABCA9,ABCA9,-0.3475714050063501,0.51953125
ABCB1,ABCB1,-0.4468859521647267,0.3203125
ABCB10,ABCB10,0.25951306542241587,0.0048828125
ABCB11,ABCB11,3.807619484551933,0.0625
ABCB4,ABCB4,0.6146171173211928,0.2060546875
ABCB5,ABCB5,-3.243836676434449,0.0009765625
ABCB6,ABCB6,0.17322662065693314,0.0830078125
ABCB7,ABCB7,-0.1792046945308459,0.0419921875
ABCB8,ABCB8,-0.3092762698686335,0.0068359375
ABCB9,ABCB9,0.015039247523208411,0.8310546875
ABCC1,ABCC1,0.23006388863672791,0.1474609375
ABCC10,ABCC10,-0.03127408657921237,0.8984375
ABCC11,ABCC11,-0.4077602801014444,0.4130859375
ABCC12,ABCC12,0.6690901874506517,0.7421875
ABCC2,ABCC2,-0.8531084102963886,0.0322265625
ABCC3,ABCC3,-0.33519559067262744,0.0048828125
ABCC4,ABCC4,0.4362465647516046,0.0009765625
